13	12	11	16	21	22
35	26	22	21	20	33	34
43	34	33	32	44
37	25	26	35	36
21	16	17	19	27	20
25	15	13	22	26
42	36	35	34	43
16	11	6	10	17
33	20	27	31	32
47	44	32	31	30	45
41	42	43	44	47	48
40	38	37	36	42	41
24	14	15	25	37	38
14	4	5	12	13	15
5	2	6	11	12
2	1	7	10	6
10	7	9	18	19	17
27	19	18	28	30	31
45	30	28	29	46
48	47	45	46	49
39	40	41	48	49
39	23	24	38	40
23	3	4	14	24
3	0	1	2	5	4
1	0	8	9	7
18	9	8	29	28
23	39	49	46	29	8	0	3	
